STATISTIC Label,Quarter,Number of Bedrooms,Property Type,Location,UNIT,VALUE
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Carlow,Euro,1066.02
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Carlow Town,Euro,1100.35
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Graiguecullen, Carlow",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Tullow, Carlow",Euro,1065.2
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Cavan,Euro,830.59
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Cavan Town,Euro,927.63
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Bailieborough, Cavan",Euro,807.32
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballyconnell, Cavan",Euro,738.58
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballyjamesduff, Cavan",Euro,834.99
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Belturbet, Cavan",Euro,763.97
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Cootehill, Cavan",Euro,641.35
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Kingscourt, Cavan",Euro,795.97
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Virginia, Cavan",Euro,951.75
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Clare,Euro,929.91
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ennis, Clare",Euro,934.05
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Killaloe, Clare",Euro,1120.73
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Kilrush, Clare",Euro,705.24
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Newmarket-On-Fergus, Clare",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Shannon, Clare",Euro,992.39
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Sixmilebridge, Clare",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Cork,Euro,1277.13
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Cork City,Euro,1428.64
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballincollig, Cork",Euro,1419
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballintemple, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballinure, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Bandon, Cork",Euro,992.51
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Bantry, Cork",Euro,821.55
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Bishopstown, Cork",Euro,1860.31
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Blackpool, Cork",Euro,1155.65
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Blackrock, Cork",Euro,1480.77
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Blarney, Cork",Euro,1389.59
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Carrigaline, Cork",Euro,1364.03
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Carrigtwohill, Cork",Euro,1238.22
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Castlemartyr, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Charleville, Cork",Euro,878.59
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Clonakilty, Cork",Euro,1039.26
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Cloyne, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Cobh, Cork",Euro,1020.28
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Crosshaven, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Douglas, Cork",Euro,
